pH,k1 value,k1 stdev,k2 value,k2 stdev
0.0,0.0011344934176730215,1.261456735189898e-05,0.0006417322029687034,9.957164827786282e-06
0.28,0.0005112851496137383,2.4033168135678926e-06,0.000290172402329536,1.924821116424408e-06
0.55,0.0002298312333816055,9.818476148296552e-07,0.00013142265954113608,7.974894009277827e-07
1.0,0.00013413912938908812,4.331497575080466e-07,6.157956156938038e-05,2.565616263260002e-07
1.25,6.917332422495814e-05,2.1183367146659703e-07,3.362811121065956e-05,1.902112166049087e-07
1.5,6.851500406013233e-05,1.6353320270907677e-07,1.586667955277843e-05,7.965922709549349e-08
1.9,6.784791709957272e-05,1.8673150388790274e-07,8.013066488898879e-06,6.64829821097768e-08
2.25,8.444254828521292e-05,1.9801170543693377e-07,5.421659506343879e-06,4.17457599102956e-08
2.6,0.00012865690612617886,4.199009452302068e-07,4.675479948201833e-06,3.960751917362423e-08
3.4,0.00033838409880215803,1.7873867240713343e-06,3.864475344284024e-06,3.180465051483731e-08
3.7,0.000558445155401821,3.2473571523420895e-06,3.6375567905588824e-06,2.5832845117396047e-08
4.1,0.0007854985893195332,5.3437027695562656e-06,3.398735588189261e-06,2.4654089626423963e-08
4.4,0.000829321915897796,6.205442944730455e-06,4.087590485757353e-06,2.6982725933522524e-08
4.75,0.0006659911638130511,4.179258983018009e-06,6.035579993457496e-06,2.763873962464243e-08
5.1,0.0003917474397244769,1.7721596944128888e-06,5.996292738452702e-06,2.713942709582233e-08
5.6,0.00017475262551369664,5.585845047505698e-07,1.1371385042813209e-05,4.094259400867605e-08
6.0,8.44064259563071e-05,2.2780833336835828e-07,2.8397167203375595e-05,1.1993293489964755e-07
6.5,2.4599559543037053e-05,3.644552087156888e-07,7.251115690609655e-05,4.56792105942889e-06
6.9,1.3765002510601754e-05,2.4449934900134744e-07,2.3880442792667544e-05,1.8692722035439856e-06
